Home,Away,1,X,2,Under,Over,R1,RX,R2,RUO
Karabukspor,Adana Demirspor,7,5.5,1.15,2.15,1.35,FALSE,FALSE,TRUE,FALSE
Boluspor,Osmanlispor,2.2,3,2.4,1.7,1.65,TRUE,FALSE,FALSE,FALSE
Adanaspor,Elazigspor,1.2,4.6,6.5,1.85,1.5,FALSE,TRUE,FALSE,FALSE
Altay,Umraniyespor,2.1,3.1,2.5,1.6,1.75,TRUE,FALSE,FALSE,FALSE
Giresunspor,Eskisehirspor,1.2,4.6,6.5,1.95,1.45,TRUE,FALSE,FALSE,TRUE
Genclerbirligi,Hatayspor,1.3,3.75,6.25,1.8,1.55,TRUE,FALSE,FALSE,FALSE
Balikesirspor,Altinordu,2,3.1,2.7,1.75,1.6,FALSE,TRUE,FALSE,FALSE
Denizlispor,Gaziantep,2.3,3,2.3,1.65,1.7,FALSE,FALSE,TRUE,FALSE
Istanbulspor,Afyonspor,2,3.1,2.6,1.55,1.8,TRUE,FALSE,FALSE,TRUE
Umraniyespor,Adanaspor,1.65,3.2,3.6,1.6,1.75,TRUE,FALSE,FALSE,TRUE
Elazigspor,Boluspor,4,3.3,1.55,1.6,1.75,FALSE,FALSE,TRUE,TRUE
Hatayspor,Karabukspor,1.15,4.7,8.5,2.05,1.4,TRUE,FALSE,FALSE,TRUE
Osmanlispor,Giresunspor,1.95,3,2.8,1.55,1.8,FALSE,FALSE,TRUE,FALSE
Altinordu,Genclerbirligi,2.6,3.1,2,1.5,1.85,FALSE,FALSE,TRUE,TRUE
Afyonspor,Altay,2.3,3,2.3,1.6,1.75,FALSE,TRUE,FALSE,FALSE
Adana Demirspor,Denizlispor,1.55,3.3,4,1.7,1.65,FALSE,FALSE,TRUE,FALSE
Eskisehirspor,Balikesirspor,6.25,3.75,1.3,1.85,1.5,FALSE,TRUE,FALSE,TRUE
Gaziantep,Istanbulspor,1.45,3.4,4.6,1.6,1.75,FALSE,TRUE,FALSE,FALSE
Umraniyespor,Umraniyespor,1.85,3,3.1,1.55,1.8,TRUE,FALSE,FALSE,TRUE
Giresunspor,Elazigspor,1.25,4,7,1.85,1.5,TRUE,FALSE,FALSE,FALSE
Istanbulspor,Altay,2.1,2.8,2.7,1.6,1.75,FALSE,FALSE,TRUE,TRUE
Gaziantep,Adana Demirspor,1.75,3.2,3.1,1.85,1.5,FALSE,FALSE,TRUE,FALSE
Denizlispor,Hatayspor,1.75,3.1,3.3,1.5,1.85,FALSE,TRUE,FALSE,FALSE
Genclerbirligi,Eskisehirspor,1.1,5,10,2.5,1.25,TRUE,FALSE,FALSE,TRUE
Adanaspor,Afyonspor,2.1,3.1,2.45,1.95,1.45,FALSE,FALSE,TRUE,FALSE
Balikesirspor,Osmanlispor,2.4,3.1,2.25,1.75,1.6,FALSE,FALSE,TRUE,TRUE
Karabukspor,Altinordu,7,4,1.2,2.3,1.3,FALSE,TRUE,FALSE,FALSE
