Home,Away,1,X,2,Under,Over,R1,RX,R2,RUO
MKE Ankaragucu,Galatasaray,4,3.6,1.5,1.95,1.45,FALSE,FALSE,TRUE,TRUE
Sivasspor,Alanyaspor,1.8,3.1,3.1,1.8,1.55,TRUE,FALSE,FALSE,FALSE
Caykur Rizespor,Kasimpasa,1.8,3.1,3.1,1.85,1.5,FALSE,FALSE,TRUE,TRUE
Fenerbahce,Bursaspor,1.25,4.5,5.5,2.05,1.4,TRUE,FALSE,FALSE,TRUE
Atiker Konyaspor,BB Erzurumspor,1.5,3.3,4.3,1.6,1.75,TRUE,FALSE,FALSE,TRUE
Medipol Basaksehir,Trabzonspor,1.6,3.3,3.7,1.75,1.6,TRUE,FALSE,FALSE,FALSE
Goztepe,Yeni Malatyaspor,1.7,3.1,3.4,1.65,1.7,FALSE,FALSE,TRUE,TRUE
Besiktas,Akhisarspor,1.25,4,7,2.05,1.4,TRUE,FALSE,FALSE,TRUE
Kayserispor,Antalyaspor,1.55,3.3,4,1.55,1.8,TRUE,FALSE,FALSE,FALSE
Trabzonspor,Sivasspor,1.45,3.6,4.3,1.95,1.45,TRUE,FALSE,FALSE,TRUE
Bursaspor,Kayserispor,2.2,2.8,2.55,1.5,1.85,FALSE,TRUE,FALSE,FALSE
Yeni Malatyaspor,Fenerbahce,4.5,3.2,1.5,1.75,1.6,TRUE,FALSE,FALSE,FALSE
Antalyaspor,Atiker Konyaspor,2.6,2.9,2.1,1.6,1.75,FALSE,TRUE,FALSE,TRUE
BB Erzurumspor,Besiktas,5.5,3.6,1.35,1.95,1.45,FALSE,FALSE,TRUE,TRUE
Akhisarspor,Caykur Rizespor,1.8,3,3.2,1.75,1.6,FALSE,TRUE,FALSE,FALSE
Galatasaray,Goztepe,1.15,4.75,9,2.3,1.3,TRUE,FALSE,FALSE,FALSE
Alanyaspor,MKE Ankaragucu,1.75,3,3.3,2.05,1.4,FALSE,FALSE,TRUE,FALSE
Kasimpasa,Medipol Basaksehir,3.75,3.2,1.6,1.95,1.45,TRUE,FALSE,FALSE,TRUE
Caykur Rizespor,BB Erzurumspor,1.45,3.4,4.6,1.95,1.45,FALSE,TRUE,FALSE,FALSE
MKE Ankaragucu,Trabzonspor,2.5,3,2.15,1.8,1.55,FALSE,TRUE,FALSE,TRUE
Kayserispor,Yeni Malatyaspor,1.85,2.8,3.3,1.45,1.95,FALSE,TRUE,FALSE,FALSE
Goztepe,Fenerbahce,3.7,3.3,1.6,1.8,1.55,TRUE,FALSE,FALSE,FALSE
Sivasspor,Kasimpasa,1.85,3.1,3,1.95,1.45,FALSE,FALSE,TRUE,TRUE
Besiktas,Antalyaspor,1.1,5.5,9.5,2.3,1.3,FALSE,FALSE,TRUE,TRUE
Atiker Konyaspor,Bursaspor,1.65,3.2,3.4,1.6,1.75,FALSE,TRUE,FALSE,FALSE
Medipol Basaksehir,Akhisarspor,1.3,3.75,6.25,2.05,1.4,TRUE,FALSE,FALSE,TRUE
Galatasaray,Alanyaspor,1.15,4.75,8,2.5,1.25,TRUE,FALSE,FALSE,TRUE
